pr_id	wave	label	title	complexity_1_5	est_min	depends_on	parallel_group	branch	completion_pct	notes	conflicts_issues	owner
PR-000	1	CORE	Eve tool + Sibyl HTTP contracts	1	15	none	A	pr-000-contracts	0	tbd	tbd	keyur
PR-001	1	CORE	Eve init	2	18	none	A	pr-001-eve-init	0	tbd	tbd	shreyash
PR-002	1	CORE	Photon channel texting	3	18	PR-000;PR-001	B	pr-002-photon-texting	0	tbd	tbd	shreyash
PR-003	1	CORE	Vercel deploy	2	15	PR-001	B	pr-003-vercel-deploy	0	tbd	tbd	shreyash
PR-004	1	CORE	Sibyl sidecar recall remember	3	20	none	A	pr-004-sibyl-recall-remember	0	tbd	tbd	keyur
PR-005	1	CORE	Base MCP connect skill	3	18	PR-001	C	pr-005-base-mcp-skill	0	tbd	tbd	keyur
PR-007	2	CORE	scaledBalanceOf read	2	14	PR-005	D	pr-007-scaled-balance	0	tbd	tbd	keyur
PR-008	2	CORE	Aerodrome quote via Sugar CLI	3	16	PR-001	E	pr-008-aerodrome-quote	0	tbd	tbd	keyur
PR-009	2	FEATURE	B20 custom plugin md	1	12	PR-001	E	pr-009-b20-plugin-md	0	tbd	tbd	keyur
PR-010	2	CORE	Sibyl search record routes	2	16	PR-004	D	pr-010-sibyl-search-record	0	tbd	tbd	keyur
PR-011	3	CORE	send_calls execute poll	4	20	PR-005;PR-008	F	pr-011-send-calls-exec	0	tbd	tbd	keyur
PR-012	3	CORE	USDC settlement path	3	18	PR-011	F	pr-012-usdc-settle	0	tbd	tbd	keyur
PR-013	3	FEATURE	Approval card link	2	14	PR-000;PR-011	G	pr-013-approval-card	0	tbd	tbd	shreyash
PR-014	3	FEATURE	Mini App portfolio approve-flip	4	20	PR-000;PR-013	G	pr-014-miniapp-portfolio	0	tbd	tbd	shreyash
PR-015	3	FEATURE	Tapback typing markdown	2	13	PR-002	H	pr-015-tapback-typing	0	tbd	tbd	shreyash
PR-016	3	FEATURE	Wallpaper traces	2	12	PR-002	H	pr-016-wallpaper-traces	0	tbd	tbd	shreyash
PR-017	4	FEATURE	Watchlist basis thesis memory	3	17	PR-010	I	pr-017-watchlist-memory	0	tbd	tbd	keyur
PR-018	4	FEATURE	Alerts schedule	3	16	PR-008;PR-017	I	pr-018-alerts-schedule	0	tbd	tbd	keyur
PR-019	4	FEATURE	Recap	2	14	PR-017	J	pr-019-recap	0	tbd	tbd	shreyash
